74	73	9	64	37	13	87	61	11	45	52	26	77	1	24	95	17	86	18	44	76	64	85	97	30	87	63	90	20	100	5	40	53	19	71	4	76	12	15	91	78	56	56	0	41	47	81	41	40	77	26	49	18	42	67	31	79	77	5	85	65	7	6	71	67	55	93	89	55	11	49	78	31	5	12	3	74	75	22	70	64	83	26	33	74	55	31	53	43	82	0	36	15	32	3	75	61	100	46	2	79	76	62	27	48	5	84	65	98	41	23	11	93	9	44	98	71	41	24	61	31	61	42	42	54	29	59	57	50	13	94	92	31	39	7	61	86	54	78	6	67	100	12	26	99	1	7	26	3	74	34	89	22	93	43	26	99	46	51	77	50	39	75	40	6	86	68	78	61	43	64	8	88	50	51	15	44	18	81	85	98	42	26	99	46	51	77	50	39	75	40	6	86	68	78	61	43	64	8	88
3	96	91	62	21	23	88	96	99	18	89	83	7	63	31	88	86	18	18	68	77	6	31	44	6	40	38	52	54	16	84	52	36	89	57	18	56	62	15	73	49	36	98	35	11	0	61	19	98	92	27	37	38	76	92	98	99	29	62	67	65	38	10	97	99	100	92	77	67	6	64	85	95	82	34	45	35	87	2	79	23	94	50	31	89	65	67	58	87	52	89	1	49	64	67	10	2	12	79	42	90	61	44	4	36	50	89	15	20	18	17	35	56	91	66	92	8	45	89	59	73	20	89	62	69	92	60	79	62	66	10	8	64	25	83	92	44	84	10	23	55	0	45	10	77	22	71	34	55	0	21	34	65	46	71	64	59	91	84	9	59	64	0	47	35	20	66	90	13	11	77	58	97	36	48	88	59	33	67	39	68	43	64	59	91	84	9	59	64	0	47	35	20	66	90	13	11	77	58	97
41	99	72	71	81	85	79	81	26	56	71	79	67	96	33	98	59	9	42	75	37	2	93	36	23	75	93	5	19	56	67	64	79	88	5	65	8	45	59	10	90	87	11	29	8	10	44	92	98	78	34	27	1	81	34	33	33	71	76	99	1	47	79	69	52	53	68	16	19	32	99	71	7	38	5	93	10	89	60	0	27	26	17	35	73	89	64	46	86	100	64	13	69	91	10	33	18	17	60	50	100	83	76	98	14	87	94	87	53	9	99	30	15	56	35	36	77	85	90	75	44	1	16	39	57	80	32	65	17	79	71	82	17	12	67	88	87	3	75	50	41	22	13	11	16	55	11	97	3	64	18	1	87	85	10	88	47	70	15	62	23	84	62	72	5	40	45	11	93	7	31	78	84	63	91	13	11	76	20	53	6	21	88	47	70	15	62	23	84	62	72	5	40	45	11	93	7	31	78	84
25	97	90	26	44	30	34	86	2	26	58	1	18	35	75	43	68	92	87	5	45	77	38	84	91	54	50	35	43	0	62	74	60	24	36	73	85	100	64	62	57	4	76	55	28	52	84	27	88	99	15	29	96	19	40	71	11	33	47	36	50	79	15	4	45	42	24	1	52	73	43	1	1	57	43	87	73	15	9	7	37	81	57	78	39	45	43	19	98	84	8	36	84	62	97	63	16	88	60	67	0	42	55	18	42	61	82	45	86	38	41	73	41	19	26	93	55	85	22	46	35	94	82	82	35	86	89	86	19	98	46	66	75	21	13	17	91	22	52	52	59	61	4	42	46	94	29	0	100	40	44	68	74	65	93	53	72	3	96	41	13	67	10	26	54	44	100	28	80	45	14	38	87	13	58	76	89	17	14	0	37	41	53	72	3	96	41	13	67	10	26	54	44	100	28	80	45	14	38	87
54	75	97	78	18	12	89	57	80	67	77	98	77	96	58	76	95	82	45	14	9	58	35	61	11	64	10	12	65	26	65	93	11	34	69	23	32	38	65	72	54	65	23	5	47	75	29	49	64	100	73	71	8	72	78	27	46	82	19	50	57	42	77	47	30	39	38	36	62	54	67	65	46	1	84	27	70	32	77	38	49	97	50	22	56	78	68	32	19	95	66	17	39	10	70	62	3	97	62	85	9	93	8	15	65	15	18	0	55	20	90	53	85	65	40	91	21	48	47	70	24	88	96	22	7	97	81	19	65	47	53	95	40	4	85	79	64	12	23	7	84	22	94	95	34	39	26	48	60	63	2	64	19	59	34	24	5	66	98	43	28	91	76	55	58	64	39	23	50	75	26	47	20	15	64	29	0	2	79	9	70	44	24	5	66	98	43	28	91	76	55	58	64	39	23	50	75	26	47	20
41	99	72	71	81	85	79	81	26	56	71	79	67	96	33	98	59	9	42	75	37	2	93	36	23	75	93	5	19	56	67	64	79	88	5	65	8	45	59	10	90	87	11	29	8	10	44	92	98	78	34	27	1	81	34	33	33	71	76	99	1	47	79	69	52	53	68	16	19	32	99	71	7	38	5	93	10	89	60	0	27	26	17	35	73	89	64	46	86	100	64	13	69	91	10	33	18	17	60	50	100	83	76	98	14	87	94	87	53	9	99	30	15	56	35	36	77	85	90	75	44	1	16	39	57	80	32	65	17	79	71	82	17	12	67	88	87	3	75	50	41	22	13	11	16	55	11	97	3	64	18	1	87	85	10	88	47	70	15	62	23	84	62	72	5	40	45	11	93	7	31	78	84	63	91	13	11	76	20	53	6	21	88	47	70	15	62	23	84	62	72	5	40	45	11	93	7	31	78	84
25	97	90	26	44	30	34	86	2	26	58	1	18	35	75	43	68	92	87	5	45	77	38	84	91	54	50	35	43	0	62	74	60	24	36	73	85	100	64	62	57	4	76	55	28	52	84	27	88	99	15	29	96	19	40	71	11	33	47	36	50	79	15	4	45	42	24	1	52	73	43	1	1	57	43	87	73	15	9	7	37	81	57	78	39	45	43	19	98	84	8	36	84	62	97	63	16	88	60	67	0	42	55	18	42	61	82	45	86	38	41	73	41	19	26	93	55	85	22	46	35	94	82	82	35	86	89	86	19	98	46	66	75	21	13	17	91	22	52	52	59	61	4	42	46	94	29	0	100	40	44	68	74	65	93	53	72	3	96	41	13	67	10	26	54	44	100	28	80	45	14	38	87	13	58	76	89	17	14	0	37	41	53	72	3	96	41	13	67	10	26	54	44	100	28	80	45	14	38	87
54	75	97	78	18	12	89	57	80	67	77	98	77	96	58	76	95	82	45	14	9	58	35	61	11	64	10	12	65	26	65	93	11	34	69	23	32	38	65	72	54	65	23	5	47	75	29	49	64	100	73	71	8	72	78	27	46	82	19	50	57	42	77	47	30	39	38	36	62	54	67	65	46	1	84	27	70	32	77	38	49	97	50	22	56	78	68	32	19	95	66	17	39	10	70	62	3	97	62	85	9	93	8	15	65	15	18	0	55	20	90	53	85	65	40	91	21	48	47	70	24	88	96	22	7	97	81	19	65	47	53	95	40	4	85	79	64	12	23	7	84	22	94	95	34	39	26	48	60	63	2	64	19	59	34	24	5	66	98	43	28	91	76	55	58	64	39	23	50	75	26	47	20	15	64	29	0	2	79	9	70	44	24	5	66	98	43	28	91	76	55	58	64	39	23	50	75	26	47	20
81	70	68	21	4	56	63	83	53	74	78	93	2	88	13	83	27	74	59	65	51	95	71	80	42	87	68	37	1	23	2	99	85	17	6	5	59	22	12	62	68	16	57	9	21	56	81	60	4	19	35	62	6	54	38	2	7	14	15	89	38	34	39	21	12	23	60	27	51	8	35	62	56	90	21	16	5	63	63	64	76	40	11	25	46	78	87	83	65	23	27	95	44	67	0	74	73	91	87	57	67	80	1	86	60	21	89	85	74	64	56	0	98	7	50	77	34	94	31	29	33	70	0	6	52	37	21	11	26	58	3	82	73	54	69	58	65	75	63	68	16	64	68	46	54	21	14	18	27	15	6	58	0	26	75	65	64	6	58	59	49	85	80	90	49	30	95	13	87	24	40	31	17	40	5	26	5	62	11	74	13	71	65	64	6	58	59	49	85	80	90	49	30	95	13	87	24	40	31	17
30	88	57	3	47	54	46	38	60	34	92	83	50	37	20	41	31	19	55	27	81	51	81	99	6	99	81	51	81	66	45	76	96	2	53	10	74	56	50	38	42	97	73	13	37	32	23	43	73	44	23	82	8	32	12	100	63	80	55	39	47	45	77	3	17	62	37	96	25	67	14	22	85	76	87	50	8	90	12	24	80	4	92	83	41	4	1	88	59	32	25	57	58	42	45	1	12	69	70	6	36	63	6	49	76	6	22	19	58	77	66	23	32	42	33	92	34	7	56	46	11	36	89	6	79	8	57	58	52	84	92	48	92	47	90	22	97	73	92	67	1	98	7	97	65	13	66	22	96	30	98	2	8	52	14	72	62	34	94	99	67	0	98	13	56	15	91	94	27	76	5	47	29	50	63	14	45	9	100	94	30	55	72	62	34	94	99	67	0	98	13	56	15	91	94	27	76	5	47	29
